face_i,baseline_z_m,baseline_dz_m,A_same_ne_z_m,A_same_ne_dz_m,B_ne_half_z_m,B_ne_half_dz_m,C_match_topdz_z_m,C_match_topdz_dz_m
1,0.000000,20.000000,0.000000,40.000000,0.000000,40.000000,0.000000,40.000001
2,20.000000,24.906827,40.000000,48.395325,40.000000,62.612391,40.000001,49.701719
3,44.906827,31.011802,88.395326,58.534561,102.612391,97.912964,89.701720,61.734101
4,75.918629,38.604351,146.929887,70.771547,200.525355,152.884296,151.435821,76.644853
5,114.522980,48.042082,217.701434,85.528013,353.409651,238.155045,228.080674,95.103767
6,162.565062,59.765902,303.229447,103.304793,591.564696,369.623730,323.184441,117.926325
7,222.330965,74.317943,406.534240,124.694005,961.188427,570.405964,441.110766,146.099847
8,296.648907,92.362528,531.228245,150.391850,1531.594391,872.556219,587.210613,180.811229
9,389.011435,114.710214,681.620095,181.211311,2404.150609,1316.984469,768.021842,223.474338
10,503.721650,142.344592,862.831407,218.093651,3721.135078,1948.094643,991.496181,275.753711
11,646.066241,176.450944,1080.925057,262.116946,5669.229721,2797.348442,1267.249891,339.579076
12,822.517186,218.444936,1343.042003,314.499082,8466.578163,3850.235389,1606.828968,417.142322
13,1040.962121,269.998028,1657.541085,376.591553,12316.813552,5001.556877,2023.971289,510.864720
14,1310.960149,333.054211,2034.132638,449.859096,17318.370428,6030.617739,2534.836010,623.317757
15,1644.014361,409.829669,2483.991734,535.838740,23348.988167,6651.011833,3158.153767,757.076298
16,2053.844030,502.783083,3019.830475,636.070426,30000.000000,,3915.230065,914.479654
17,2556.627113,614.539594,3655.900900,751.990395,,,4829.709719,1097.276927
18,3171.166707,747.746534,4407.891295,884.778723,,,5926.986646,1306.142090
19,3918.913241,904.835405,5292.670018,1035.154674,,,7233.128736,1540.066848
20,4823.748647,1087.664871,6327.824692,1203.119298,,,8773.195584,1795.680360
21,5911.413517,1297.028159,7530.943990,1387.655190,,,10568.875944,2066.604890
22,7208.441677,1532.030805,8918.599180,1586.409367,,,12635.480835,2343.025900
23,8740.472482,1789.386502,10505.008547,1795.406032,,,14978.506734,2611.708501
24,10529.858984,2062.741175,12300.414579,2008.857995,,,17590.215235,2856.688332
25,12592.600159,2342.208879,14309.272574,2219.161478,,,20446.903568,3060.760964
26,14934.809038,2614.361586,16528.434052,2417.158135,,,23507.664532,3207.676010
27,17549.170624,2862.914972,18945.592188,2592.719526,,,26715.340542,3284.659458
28,20412.085596,3070.247341,21538.311713,2735.647610,,,30000.000000,
29,23482.332937,3219.662030,24273.959323,2836.797790,,,,
30,26701.994967,3298.005033,27110.757113,2889.242887,,,,
31,30000.000000,,30000.000000,,,,,
