face_i,baseline_z_km,baseline_dz_m,A_z_km,A_dz_m,B_z_km,B_dz_m,C_z_km,C_dz_m
1,0.000000,20.000000,0.000000,40.000000,0.000000,40.000000,0.000000,40.000001
2,0.020000,24.906827,0.040000,48.395325,0.040000,62.612391,0.040000,49.701719
3,0.044907,31.011802,0.088395,58.534561,0.102612,97.912964,0.089702,61.734101
4,0.075919,38.604351,0.146930,70.771547,0.200525,152.884296,0.151436,76.644853
5,0.114523,48.042082,0.217701,85.528013,0.353410,238.155045,0.228081,95.103767
6,0.162565,59.765902,0.303229,103.304793,0.591565,369.623730,0.323184,117.926325
7,0.222331,74.317943,0.406534,124.694005,0.961188,570.405964,0.441111,146.099847
8,0.296649,92.362528,0.531228,150.391850,1.531594,872.556219,0.587211,180.811229
9,0.389011,114.710214,0.681620,181.211311,2.404151,1316.984469,0.768022,223.474338
10,0.503722,142.344592,0.862831,218.093651,3.721135,1948.094643,0.991496,275.753711
11,0.646066,176.450944,1.080925,262.116946,5.669230,2797.348442,1.267250,339.579076
12,0.822517,218.444936,1.343042,314.499082,8.466578,3850.235389,1.606829,417.142322
13,1.040962,269.998028,1.657541,376.591553,12.316814,5001.556877,2.023971,510.864720
14,1.310960,333.054211,2.034133,449.859096,17.318370,6030.617739,2.534836,623.317757
15,1.644014,409.829669,2.483992,535.838740,23.348988,6651.011833,3.158154,757.076298
16,2.053844,502.783083,3.019830,636.070426,30.000000,,3.915230,914.479654
17,2.556627,614.539594,3.655901,751.990395,,,4.829710,1097.276927
18,3.171167,747.746534,4.407891,884.778723,,,5.926987,1306.142090
19,3.918913,904.835405,5.292670,1035.154674,,,7.233129,1540.066848
20,4.823749,1087.664871,6.327825,1203.119298,,,8.773196,1795.680360
21,5.911414,1297.028159,7.530944,1387.655190,,,10.568876,2066.604890
22,7.208442,1532.030805,8.918599,1586.409367,,,12.635481,2343.025900
23,8.740472,1789.386502,10.505009,1795.406032,,,14.978507,2611.708501
24,10.529859,2062.741175,12.300415,2008.857995,,,17.590215,2856.688332
25,12.592600,2342.208879,14.309273,2219.161478,,,20.446904,3060.760964
26,14.934809,2614.361586,16.528434,2417.158135,,,23.507665,3207.676010
27,17.549171,2862.914972,18.945592,2592.719526,,,26.715341,3284.659458
28,20.412086,3070.247341,21.538312,2735.647610,,,30.000000,
29,23.482333,3219.662030,24.273959,2836.797790,,,,
30,26.701995,3298.005033,27.110757,2889.242887,,,,
31,30.000000,,30.000000,,,,,
